"
trial","best_epoch
","state
","val_loss_max_diff%
","lr
","lr_scheduler
","optimizer
","model_type
","image_augmentation
","weight_decay
","weighted_loss
","val_acc
","val_hamming
","val_loss
","val_precision
","val_recall
","train_acc
","train_hamming
","train_loss_epoch
","train_loss_step
","train_precision
","train_recall
"
64,39,COMPLETE,0.207824,0.000292,ConstantStartReduceOnPlateau,adam,resnet18Pre,False,0.000297,False,0.787139,0.212860,0.285727,0.659104,0.494556,0.796688,0.203311,0.272611,0.274089,0.690010,0.507142
66,39,COMPLETE,0.393006,0.000126,ConstantStartReduceOnPlateau,adam,resnet18Pre,False,0.000821,False,0.786972,0.213028,0.287292,0.660814,0.481497,0.796732,0.203268,0.272030,0.262450,0.695071,0.506900
68,33,COMPLETE,0.303512,0.000140,ConstantStartReduceOnPlateau,adam,resnet18Pre,True,0.000257,False,0.782149,0.217851,0.294808,0.643296,0.479433,0.824791,0.175209,0.244853,0.238712,0.756346,0.562454
71,33,COMPLETE,0.342688,0.000123,ConstantStartReduceOnPlateau,adam,resnet18Pre,True,0.000042,False,0.780126,0.219874,0.295285,0.633602,0.479562,0.809848,0.190152,0.263152,0.277837,0.716094,0.520209
22,35,COMPLETE,0.244269,0.294593,none,sgd,resnet18Pre,False,0.000128,False,0.778990,0.221010,0.297656,0.636176,0.461042,0.783659,0.216340,0.288444,0.284790,0.657543,0.472137
2,35,COMPLETE,0.256222,0.254453,none,sgd,resnet18Pre,False,0.000399,False,0.779933,0.220067,0.297771,0.629677,0.455601,0.782941,0.217060,0.290207,0.280657,0.650199,0.457609
23,35,COMPLETE,0.245914,0.357002,none,sgd,resnet18Pre,False,0.000337,False,0.774782,0.225218,0.302402,0.614779,0.461550,0.780845,0.219155,0.295517,0.291478,0.649959,0.447632
31,39,COMPLETE,0.226144,0.080962,CosineAnnealingWarmRestarts,sgd,resnet18Pre,False,0.000513,False,0.770490,0.229510,0.308617,0.584267,0.401446,0.771545,0.228455,0.306603,0.311053,0.596427,0.415165
56,33,COMPLETE,0.085292,0.000344,CosineAnnealingWarmRestarts,adam,resnet18Like,False,0.001486,False,0.754379,0.245621,0.332837,0.465650,0.366501,0.755961,0.244038,0.331288,0.337694,0.458810,0.359467
49,39,COMPLETE,0.118619,0.023403,ConstantStartReduceOnPlateau,sgd,resnet18Like,False,0.000150,False,0.750421,0.249580,0.339901,0.414647,0.350869,0.748838,0.251162,0.338287,0.338285,0.422929,0.336097
